id,area,requirement,priority,verification,owner_role,status,evidence_path
A052,design,"Search finds places, aliases, articles and source/method pages",P1,Representative query fixture set,frontend_engineer,not_run,
A053,design,"No fake live dot, disaster imagery or alarming metric hierarchy unsupported by evidence",P0,Visual/editorial audit,visual_designer,not_run,
A054,journalists,Every major chart exports data and a source/method/release note,P0,Export content and number parity tests,frontend_engineer,not_run,
A055,journalists,Persistent claim and release URLs support sharing and reproducibility,P0,Deep-link and archived-release tests,frontend_engineer,not_run,
A056,journalists,"Reuse rights, publisher/AI disclosure, corrections and real contact route are honest",P0,Public transparency review,editor,not_run,
A057,hosting,Production works at root and /repository/ prefixes including deep refresh and search,P0,Two production HTTP smoke tests,quality_engineer,not_run,
A058,hosting,"Full and compact static exports have measured file count, sizes and hashes",P0,Package inventory and provider-limit check,frontend_engineer,not_run,
A059,hosting,No runtime API secrets or mandatory paid map/model/backend services,P0,Built asset and network inspection,quality_engineer,not_run,
A060,hosting,Publication approval is tied to exact release artifact and destination,P0,Release/publication gate and genuine receipt,lead,not_run,
A061,hosting,Release rollback restores a complete last-known-good build with coherent data,P0,Rollback rehearsal,lead,not_run,
A062,security,"External content is treated as untrusted input, not executable instructions",P0,Sanitization and agent prompt-injection review,quality_engineer,not_run,
A063,security,Untrusted pull-request code cannot access publication secrets,P0,Workflow permission and event review,quality_engineer,not_run,
A064,operations,"Persistent state identifies completed work, blockers and exact next command",P0,Resume from clean session,lead,not_run,
A065,operations,"Review evidence is tied to source snapshot and artifact hashes, not checkboxes alone",P0,Tampering fixture and release audit,quality_engineer,not_run,
A066,operations,"Hand-off distinguishes built, data-verified, editorially-reviewed and deployed",P0,Final report review,lead,not_run,
